                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.099354,               0.080314,                0.10752,               0.025618,                0.76597,                0.17451,                0.10155,               0.037331,                0.80045,                0.17804,                0.14547,               0.068026,               0.080736,               0.044419,               0.086275,               0.014046,               0.070361,              0.0032932,              0.0032932
                      1,               0.077692,               0.036123,               0.095783,               0.010216,                0.84618,                0.17729,                0.18129,               0.079849,                0.85216,                0.18434,                0.19282,                0.10582,               0.074989,               0.037305,               0.071702,                0.01288,               0.040329,              0.0065937,              0.0065937
                      2,               0.077739,               0.037628,               0.087633,               0.010201,                0.79983,                0.17232,                0.16403,               0.060093,                0.82955,                0.19539,                0.20353,                0.11156,               0.071746,               0.039128,               0.065724,               0.012412,               0.010263,              0.0098612,              0.0098612
                      3,               0.070815,               0.035613,               0.091243,               0.010079,                0.84088,                0.18435,                 0.2043,               0.082005,                0.84488,                0.19331,                0.21445,               0.092557,               0.067283,               0.039331,               0.070121,               0.012091,              0.0098515,              0.0098515,              0.0098515
                      4,               0.062821,               0.034759,               0.088988,              0.0096046,                0.87146,                0.20798,                0.27489,                0.13661,                0.87666,                0.21327,                0.28054,                0.15013,               0.059963,               0.037838,               0.067225,               0.011545,              0.0098515,              0.0098515,              0.0098515
                      5,               0.054892,               0.033187,               0.090415,              0.0087447,                0.36685,                0.36849,                0.33729,                0.17985,                0.86205,                0.23015,                0.32808,                0.17119,               0.048043,               0.035398,               0.066634,                0.01125,               0.009802,               0.009802,               0.009802
                      6,               0.048941,               0.032277,               0.089782,              0.0086057,                 0.3827,                0.51416,                0.44272,                0.21898,                0.41039,                0.53401,                0.45787,                 0.2504,               0.045669,               0.035856,               0.066296,               0.010156,              0.0097525,              0.0097525,              0.0097525
                      7,               0.048465,               0.032508,               0.089132,               0.008132,                0.39057,                0.59689,                0.49877,                 0.2799,                0.40372,                0.59973,                0.50746,                0.29514,               0.043008,               0.034947,               0.065126,              0.0098325,               0.009703,               0.009703,               0.009703
                      8,               0.045583,               0.031384,               0.087064,              0.0072001,                0.43053,                0.60982,                0.49755,                 0.2872,                0.44724,                0.63034,                0.51706,                0.29856,               0.040363,               0.033795,               0.063035,              0.0090285,              0.0096535,              0.0096535,              0.0096535
                      9,               0.039693,               0.031562,               0.086573,              0.0068596,                0.40811,                0.64537,                0.51997,                0.30354,                0.42571,                0.66506,                0.54195,                0.29138,               0.041311,               0.034014,               0.065114,              0.0078473,               0.009604,               0.009604,               0.009604
                     10,               0.041166,               0.030975,               0.084572,              0.0059449,                0.44445,                0.59124,                0.51597,                 0.3198,                0.45076,                0.61747,                0.52541,                0.29898,               0.039162,               0.035456,               0.066136,              0.0076516,              0.0095545,              0.0095545,              0.0095545
                     11,               0.041115,               0.030308,                0.08254,              0.0057111,                 0.5543,                 0.5953,                0.58266,                0.34509,                0.57615,                0.58015,                0.58966,                0.34184,               0.041943,               0.034259,               0.064328,              0.0065711,               0.009505,               0.009505,               0.009505
                     12,               0.039917,               0.029884,               0.084324,              0.0053608,                0.47937,                0.68482,                0.55251,                0.35067,                0.49816,                0.70687,                0.57892,                0.33042,               0.038108,               0.035038,               0.065023,              0.0061398,              0.0094555,              0.0094555,              0.0094555
                     13,               0.038947,                0.03009,               0.082845,              0.0049344,                0.56376,                0.63373,                0.60039,                0.32782,                0.56933,                0.64057,                 0.6057,                0.35577,               0.036861,               0.035184,               0.067279,              0.0059062,               0.009406,               0.009406,               0.009406
                     14,               0.038685,                0.03006,               0.082502,              0.0047165,                0.62578,                 0.5963,                0.62859,                0.38957,                0.61763,                0.61948,                0.64478,                0.37595,               0.037813,               0.032841,                0.06433,              0.0056454,              0.0093565,              0.0093565,              0.0093565
                     15,               0.038139,               0.029779,               0.081493,              0.0044137,                0.65812,                0.62724,                0.68037,                0.39155,                0.65708,                0.62791,                0.67721,                0.39397,               0.043394,               0.033485,               0.065851,              0.0054074,               0.009307,               0.009307,               0.009307
                     16,               0.037333,                0.02948,               0.082525,              0.0041692,                 0.6448,                0.63766,                0.65915,                0.39811,                0.66034,                 0.6446,                 0.6839,                0.37932,               0.037486,               0.034061,               0.066175,              0.0054009,              0.0092575,              0.0092575,              0.0092575
                     17,               0.034187,                0.02919,               0.082107,              0.0040594,                0.71153,                0.64977,                0.69379,                0.42748,                0.72093,                0.66645,                0.70949,                0.40893,                0.03525,               0.033605,               0.064389,                0.00499,               0.009208,               0.009208,               0.009208
                     18,               0.034292,               0.028893,               0.079709,              0.0037204,                0.73057,                0.64156,                0.69468,                0.43271,                0.73017,                0.65167,                0.70754,                0.42167,               0.035044,               0.033743,               0.066422,              0.0050799,              0.0091585,              0.0091585,              0.0091585
                     19,               0.033617,               0.029227,               0.080584,              0.0037878,                0.76712,                 0.6096,                0.69962,                0.44482,                0.77469,                0.61959,                0.70827,                0.43006,               0.033058,               0.034009,               0.065231,              0.0051127,               0.009109,               0.009109,               0.009109
                     20,               0.034587,               0.029395,                0.08001,               0.003806,                0.79553,                 0.5988,                0.70875,                0.44065,                0.75918,                0.62364,                0.71834,                0.44693,                0.03426,               0.033319,               0.065396,              0.0048819,              0.0090595,              0.0090595,              0.0090595
