                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10035,               0.078832,                0.10579,               0.024641,                0.74892,                0.12726,               0.089213,               0.027201,                0.78087,                0.16323,                0.13212,                0.06658,                0.08131,               0.044873,                0.10444,               0.013707,               0.070361,              0.0032932,              0.0032932
                      1,               0.078722,               0.037695,               0.095018,               0.010085,                0.83549,                0.17144,                0.16632,               0.053646,                0.85392,                0.19213,                0.19674,                0.10656,               0.079657,               0.039158,               0.067783,                0.01271,               0.040329,              0.0065937,              0.0065937
                      2,               0.078201,               0.037532,               0.088489,                0.01007,                0.84075,                0.15529,                0.17304,               0.061999,                0.85315,                0.17837,                0.19517,               0.097688,               0.080237,               0.041371,               0.060574,                0.01243,               0.010263,              0.0098612,              0.0098612
                      3,               0.068884,               0.037051,               0.093555,                0.01009,                0.83885,                0.21298,                0.20915,               0.095386,                0.84767,                0.22236,                0.22361,                0.12652,               0.065405,               0.037949,                0.06907,               0.012175,              0.0098515,              0.0098515,              0.0098515
                      4,               0.062028,               0.035617,               0.093657,              0.0095032,                0.82293,                 0.1958,                0.25324,                0.12844,                0.83593,                0.19477,                 0.2609,                0.13234,               0.055519,               0.037656,               0.067071,               0.011392,              0.0098515,              0.0098515,              0.0098515
                      5,               0.053245,                0.03443,               0.093835,              0.0086619,                0.87067,                0.22119,                 0.3405,                0.17254,                 0.8819,                0.22308,                0.34931,                0.18105,               0.048325,               0.037556,               0.074148,               0.010772,               0.009802,               0.009802,               0.009802
                      6,               0.051894,               0.034009,               0.091417,              0.0085599,                 0.3823,                0.54211,                0.45215,                0.22025,                0.38734,                0.54759,                 0.4645,                0.26351,               0.049319,               0.035736,               0.066122,               0.010055,              0.0097525,              0.0097525,              0.0097525
                      7,               0.050223,               0.033362,               0.091284,               0.008038,                0.34881,                0.53101,                0.44997,                0.20775,                0.34617,                0.53175,                0.45897,                0.25202,               0.045726,               0.035201,               0.066748,               0.009866,               0.009703,               0.009703,               0.009703
                      8,               0.045729,               0.032417,               0.090169,              0.0070313,                0.41336,                0.58319,                0.46801,                0.26493,                0.44293,                 0.5698,                0.47286,                0.26023,               0.040051,               0.036154,                0.06608,              0.0085791,              0.0096535,              0.0096535,              0.0096535
                      9,               0.044026,               0.032248,               0.087355,              0.0068682,                0.39052,                0.61245,                0.51572,                 0.2794,                 0.3962,                0.61692,                 0.5243,                0.28282,               0.042504,               0.034722,               0.066276,              0.0080597,               0.009604,               0.009604,               0.009604
                     10,               0.043174,               0.032233,               0.086615,              0.0061009,                0.47354,                0.58606,                0.53447,                0.32561,                0.48203,                0.60918,                0.54117,                0.30714,               0.037684,               0.035032,                 0.0666,              0.0082468,              0.0095545,              0.0095545,              0.0095545
                     11,               0.041573,               0.031132,                0.08537,              0.0060323,                0.46426,                 0.6752,                0.57763,                0.33641,                0.46868,                0.68365,                0.58816,                0.32946,               0.042653,               0.034262,               0.067219,              0.0074123,               0.009505,               0.009505,               0.009505
                     12,               0.040094,               0.031166,               0.087499,              0.0057659,                0.52502,                0.62424,                0.57359,                 0.3272,                0.53773,                0.64449,                0.59633,                0.35177,               0.037941,                0.03535,               0.067452,              0.0066509,              0.0094555,              0.0094555,              0.0094555
                     13,               0.039756,               0.030714,               0.084329,              0.0054192,                0.44438,                0.65867,                0.55636,                0.33797,                0.47759,                0.64605,                0.59203,                0.34094,                0.03767,               0.035641,               0.066718,              0.0063731,               0.009406,               0.009406,               0.009406
                     14,               0.039331,               0.031126,               0.084671,              0.0051648,                0.62478,                0.58786,                0.62022,                0.38138,                0.61458,                0.57634,                0.61944,                0.36855,               0.038029,               0.033583,               0.064949,              0.0061322,              0.0093565,              0.0093565,              0.0093565
