                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.098082,                0.08184,                 0.1083,               0.027394,                 0.8064,                0.14604,                0.12739,               0.034463,                0.83231,                0.17158,                0.16792,               0.078345,               0.082672,               0.042355,               0.090415,               0.014068,               0.070361,              0.0032932,              0.0032932
                      1,               0.082493,               0.035557,               0.091899,               0.010093,                 0.8251,                0.14906,                0.15486,               0.060327,                0.83156,                0.17217,                0.17463,                0.08419,               0.079431,               0.037715,               0.065036,               0.012427,               0.040329,              0.0065937,              0.0065937
                      2,               0.078188,                0.03693,               0.086891,               0.010072,                0.82472,                0.16835,                0.22993,                0.10181,                0.83172,                0.17158,                0.24311,                0.13353,               0.064532,               0.039439,               0.065243,               0.012016,               0.010263,              0.0098612,              0.0098612
                      3,               0.068749,               0.035379,               0.093299,              0.0097734,                0.82482,                0.18744,                0.27049,                 0.1278,                0.82857,                0.18867,                0.27462,                0.14305,               0.059501,               0.041892,               0.065802,               0.011252,              0.0098515,              0.0098515,              0.0098515
                      4,               0.063281,               0.033997,               0.091192,              0.0089407,                0.30607,                0.42765,                0.36625,                0.19338,                0.29224,                0.41856,                0.36328,                0.19371,               0.056877,               0.035889,               0.064844,               0.010573,              0.0098515,              0.0098515,              0.0098515
                      5,               0.052534,                 0.0323,               0.088006,              0.0080669,                0.29691,                0.55179,                0.38746,                0.19577,                0.30026,                0.56256,                0.39148,                0.23149,               0.052999,               0.034663,               0.064412,              0.0099246,               0.009802,               0.009802,               0.009802
                      6,                0.05012,               0.031492,               0.086794,              0.0078128,                0.32389,                 0.5771,                 0.4587,                0.26339,                0.32128,                0.58602,                0.46787,                0.25475,               0.046097,               0.034691,               0.065165,              0.0089695,              0.0097525,              0.0097525,              0.0097525
                      7,                0.04707,               0.031945,               0.088693,              0.0071807,                0.45341,                0.56689,                0.52882,                0.26956,                0.45146,                0.56249,                0.52533,                0.28135,               0.044007,               0.034227,                0.06604,               0.008205,               0.009703,               0.009703,               0.009703
                      8,               0.044468,               0.031096,               0.086057,              0.0061522,                0.44584,                0.60826,                0.54129,                0.30138,                0.43416,                0.60679,                0.54333,                0.29686,                0.04016,               0.033891,               0.067224,              0.0075958,              0.0096535,              0.0096535,              0.0096535
                      9,               0.043021,               0.030948,               0.084232,              0.0058182,                0.56724,                 0.6211,                 0.5841,                0.34065,                0.56982,                0.63611,                0.60793,                0.35666,               0.035626,               0.033538,               0.063944,               0.007152,               0.009604,               0.009604,               0.009604
                     10,               0.041249,               0.030038,                0.08298,              0.0051666,                0.53326,                0.60897,                0.59515,                0.33903,                0.54882,                0.63753,                0.61348,                0.34437,               0.039067,               0.034099,               0.066237,                0.00737,              0.0095545,              0.0095545,              0.0095545
                     11,               0.040748,               0.030055,               0.082182,              0.0050087,                0.57867,                0.60371,                0.59744,                   0.34,                0.59723,                 0.6184,                0.61694,                0.37468,               0.043006,               0.034123,               0.065515,              0.0056779,               0.009505,               0.009505,               0.009505
                     12,               0.040127,               0.029939,               0.083334,                0.00469,                0.59193,                0.61553,                0.62381,                0.37494,                0.56415,                0.65787,                0.63958,                0.38297,               0.037529,               0.033724,               0.064417,              0.0056481,              0.0094555,              0.0094555,              0.0094555
