                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1472,                 2.0533,                 1.4488,                 1.1704,                0.37308,                0.40219,                0.28819,                0.19094,                0.37229,                0.40223,                0.28467,                0.15505,                 1.0309,                  2.118,                 2.6161,                 1.1807,             0.00047059,             0.00047059,             0.00047059
                      1,                 1.0361,                 1.7549,                  1.001,                   1.09,                 0.4999,                0.50894,                0.41097,                0.25849,                0.50196,                0.51185,                0.42632,                 0.2342,                 1.0662,                 1.9928,                 1.6567,                  1.228,             0.00094224,             0.00094224,             0.00094224
                      2,                 1.0748,                 1.7775,                 1.0179,                 1.1209,                0.51796,                0.51199,                0.45602,                0.28667,                0.52168,                0.52137,                0.45565,                0.24663,                 1.1013,                  1.963,                 1.3026,                 1.2126,              0.0014092,              0.0014092,              0.0014092
                      3,                 1.0653,                 1.7493,                0.96785,                 1.0948,                0.37795,                0.48614,                 0.4189,                0.26878,                0.37875,                0.48761,                0.43354,                0.23764,                 1.0451,                 1.9021,                  1.107,                 1.1628,              0.0014078,              0.0014078,              0.0014078
                      4,                 1.0416,                 1.7131,                0.95068,                 1.0958,                0.51661,                 0.5177,                0.50752,                0.32877,                0.53364,                0.52159,                0.51364,                0.27187,                 1.0636,                 1.8524,                 1.0314,                 1.1542,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.0032,                 1.6927,                 0.9229,                 1.0848,                0.46501,                 0.4338,                0.45815,                0.31186,                0.46997,                0.42566,                0.46317,                0.26742,                 1.0019,                 1.7797,                  1.189,                 1.1297,              0.0014007,              0.0014007,              0.0014007
                      6,                0.95879,                 1.6119,                0.86108,                 1.0616,                0.60987,                0.60498,                0.57912,                0.39099,                0.62677,                 0.6013,                0.58829,                0.33568,                 1.0678,                 1.8652,                 1.0519,                 1.1456,              0.0013936,              0.0013936,              0.0013936
                      7,                0.97075,                 1.6339,                0.85671,                 1.0629,                0.74826,                0.61497,                0.64925,                0.45848,                0.75042,                0.61951,                0.66145,                0.39008,                 0.9276,                 1.7498,                0.90269,                 1.0783,              0.0013866,              0.0013866,              0.0013866
                      8,                0.92629,                 1.6177,                0.79486,                 1.0403,                0.69933,                0.67673,                0.66842,                0.45185,                0.70068,                0.68078,                0.67186,                0.38949,                0.93583,                 1.7433,                0.88813,                 1.0751,              0.0013795,              0.0013795,              0.0013795
                      9,                0.93142,                 1.5614,                0.77808,                 1.0441,                0.59939,                0.60563,                0.55049,                0.35978,                0.60729,                0.60864,                0.55687,                0.30898,                0.96461,                 1.7247,                0.91596,                 1.0888,              0.0013724,              0.0013724,              0.0013724
                     10,                0.92969,                  1.579,                0.77717,                 1.0397,                0.53289,                0.57751,                0.55107,                0.38594,                0.54333,                0.58902,                0.56613,                0.33825,                0.90361,                 1.6828,                0.91435,                 1.0742,              0.0013653,              0.0013653,              0.0013653
                     11,                0.90008,                 1.5448,                 0.7916,                 1.0346,                0.73112,                0.63281,                0.68282,                0.46199,                0.76554,                0.62861,                0.68455,                0.38191,                0.97213,                 1.7849,                0.92115,                 1.1012,              0.0013583,              0.0013583,              0.0013583
                     12,                0.92849,                 1.6106,                0.77421,                  1.039,                0.61693,                0.65364,                0.62849,                0.43183,                0.63299,                0.62856,                0.63709,                0.37275,                0.96211,                 1.7703,                0.87438,                 1.0941,              0.0013512,              0.0013512,              0.0013512
                     13,                0.89278,                 1.5623,                 0.7722,                 1.0363,                0.68073,                0.54893,                0.61336,                0.44014,                0.69159,                0.55646,                0.62396,                0.38756,                0.86034,                 1.6526,                0.90811,                 1.0489,              0.0013441,              0.0013441,              0.0013441
                     14,                0.85285,                   1.49,                0.73039,                 1.0096,                0.64556,                0.70794,                0.66722,                0.45903,                0.71391,                 0.6389,                0.66933,                0.40699,                0.88688,                 1.6561,                 0.8604,                 1.0736,               0.001337,               0.001337,               0.001337
                     15,                0.85702,                 1.4993,                0.70817,                 1.0099,                 0.7071,                0.63488,                0.66281,                0.47568,                0.70809,                0.63996,                0.67086,                0.41022,                0.91977,                 1.7275,                0.83125,                 1.0854,                0.00133,                0.00133,                0.00133
                     16,                0.84638,                 1.4773,                0.69029,                 1.0069,                0.67442,                0.66627,                0.66854,                0.47932,                0.67385,                0.66618,                0.67204,                 0.4097,                0.87013,                 1.6715,                0.83444,                 1.0588,              0.0013229,              0.0013229,              0.0013229
                     17,                0.84595,                  1.488,                0.70606,                 1.0193,                0.72524,                0.66632,                0.68735,                0.47949,                0.71556,                0.65936,                0.67661,                0.40344,                0.87798,                 1.6488,                0.82183,                  1.055,              0.0013158,              0.0013158,              0.0013158
                     18,                0.83301,                 1.4764,                 0.6961,                 1.0034,                0.70703,                0.61243,                 0.6973,                0.50124,                 0.6965,                0.63274,                0.69988,                0.42606,                0.89922,                 1.7174,                   0.79,                 1.0842,              0.0013087,              0.0013087,              0.0013087
                     19,                0.87022,                 1.4897,                0.69757,                 1.0169,                0.74836,                0.69342,                0.74373,                 0.5308,                0.75173,                0.69628,                0.74524,                0.45752,                0.86507,                 1.6453,                0.77318,                  1.053,              0.0013017,              0.0013017,              0.0013017
                     20,                0.84803,                 1.4859,                0.70124,                 1.0071,                0.68898,                0.67018,                0.66647,                0.46823,                0.69822,                0.67743,                0.67247,                0.40349,                0.89294,                 1.6205,                0.83957,                 1.0519,              0.0012946,              0.0012946,              0.0012946
                     21,                0.84524,                 1.4655,                0.67543,                 1.0072,                0.71687,                 0.7273,                0.71309,                0.50895,                0.72423,                0.73095,                0.71665,                0.43517,                 0.9179,                 1.6144,                0.79733,                 1.0762,              0.0012875,              0.0012875,              0.0012875
                     22,                 0.8291,                 1.4446,                0.67706,                 1.0016,                0.78704,                0.69947,                0.74526,                 0.5437,                0.79617,                 0.7071,                0.75608,                0.47914,                0.87528,                 1.5658,                0.74958,                 1.0639,              0.0012805,              0.0012805,              0.0012805
