                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1759,                 2.0855,                 1.4448,                 1.1601,                0.49795,                0.35031,                0.36191,                0.23406,                0.48843,                0.35514,                0.36024,                0.21721,                 1.0779,                 2.0394,                 1.4635,                 1.1771,             0.00047059,             0.00047059,             0.00047059
                      1,                 1.0184,                 1.7068,                0.97754,                 1.0578,                0.52134,                0.52045,                0.49581,                 0.3065,                 0.5269,                0.52265,                0.49594,                0.25927,                 1.0329,                 2.0391,                 1.5126,                 1.1575,             0.00094224,             0.00094224,             0.00094224
                      2,                 1.0506,                 1.6949,                 1.0014,                 1.0856,                0.36237,                0.61676,                 0.4292,                0.27526,                0.36754,                0.59705,                 0.4284,                0.24483,                 1.0935,                 1.9827,                 1.4855,                 1.1631,              0.0014092,              0.0014092,              0.0014092
                      3,                 1.0411,                 1.6717,                0.91106,                 1.0648,                 0.5477,                0.60035,                0.57132,                0.37351,                0.56206,                0.61747,                0.58475,                0.32625,                 1.0483,                 1.8172,                 1.0913,                 1.1224,              0.0014078,              0.0014078,              0.0014078
                      4,                0.99713,                 1.6448,                0.87598,                 1.0498,                0.58282,                0.59774,                0.59316,                0.40292,                0.58674,                0.60786,                0.60229,                0.35518,                0.99216,                 1.7135,                0.94879,                 1.0996,              0.0014078,              0.0014078,              0.0014078
                      5,                0.96723,                 1.6238,                  0.864,                 1.0456,                0.68295,                0.56272,                0.60388,                0.40014,                 0.6624,                0.55144,                 0.5835,                0.32466,                0.99358,                 1.9787,                  1.017,                 1.1126,              0.0014007,              0.0014007,              0.0014007
                      6,                0.95564,                 1.5945,                0.84673,                 1.0374,                0.66847,                0.53247,                0.56814,                  0.385,                0.59988,                0.62659,                0.58949,                0.34739,                 1.0262,                 1.7473,                0.98863,                  1.123,              0.0013936,              0.0013936,              0.0013936
                      7,                0.94833,                 1.5951,                0.81653,                 1.0386,                0.71249,                0.62375,                0.63538,                0.44054,                 0.7004,                0.62157,                0.64178,                0.37136,                0.94548,                 1.8038,                0.91261,                  1.073,              0.0013866,              0.0013866,              0.0013866
                      8,                0.92369,                 1.5998,                0.81093,                 1.0184,                0.67233,                0.62022,                0.62641,                0.42507,                0.68845,                0.63417,                0.64786,                 0.3613,                0.93083,                 1.7176,                0.85488,                 1.0653,              0.0013795,              0.0013795,              0.0013795
                      9,                0.95335,                 1.5963,                0.79174,                 1.0309,                0.72088,                0.62763,                0.65494,                0.45076,                0.72144,                0.63075,                 0.6712,                0.39354,                0.90801,                 1.6542,                0.87897,                 1.0571,              0.0013724,              0.0013724,              0.0013724
