                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1165,                 2.0019,                 1.3771,                 1.1604,                0.36534,                0.36618,                0.31615,                0.20504,                0.36005,                0.36413,                0.31077,                0.18142,                0.99699,                 2.2296,                 2.8332,                  1.174,             0.00047059,             0.00047059,             0.00047059
                      1,                 1.0613,                 1.8063,                 1.0424,                 1.1099,                0.32917,                0.58074,                0.34588,                0.23922,                0.34825,                0.48792,                0.33661,                0.18344,                 1.0436,                 2.3715,                 2.6787,                 1.1911,             0.00094224,             0.00094224,             0.00094224
                      2,                 1.1003,                 1.7561,                 1.0045,                 1.1324,                0.54003,                  0.511,                0.47319,                0.29416,                0.54091,                0.51138,                0.47322,                0.24112,                 1.2141,                 2.1975,                 1.2748,                 1.2446,              0.0014092,              0.0014092,              0.0014092
                      3,                 1.0761,                 1.7577,                0.97277,                 1.1045,                0.40488,                0.47289,                0.40132,                0.26649,                 0.4099,                0.47313,                0.41234,                0.22995,                 1.0564,                 1.8991,                 1.2741,                  1.181,              0.0014078,              0.0014078,              0.0014078
                      4,                  1.046,                 1.7131,                 0.9559,                 1.1035,                0.52364,                0.49276,                0.47727,                0.31451,                0.52007,                0.48918,                0.47995,                0.27618,                 1.0335,                 1.8599,                 1.1975,                 1.1646,              0.0014078,              0.0014078,              0.0014078
                      5,                0.99244,                 1.6417,                0.88712,                 1.0862,                0.56083,                0.53195,                0.51085,                 0.3509,                0.56886,                 0.5409,                0.52484,                0.30169,                 1.0245,                 1.8885,                 1.0411,                  1.145,              0.0014007,              0.0014007,              0.0014007
                      6,                0.95736,                  1.601,                0.85118,                 1.0701,                0.60693,                0.55921,                0.54496,                0.37038,                0.61264,                 0.5711,                0.56223,                 0.3231,                0.97804,                 1.7692,                0.93016,                 1.1309,              0.0013936,              0.0013936,              0.0013936
                      7,                0.95314,                 1.6152,                0.81839,                 1.0659,                0.56337,                0.56454,                0.52664,                0.36593,                0.57403,                0.57367,                0.54163,                0.32789,                 1.0109,                 1.7169,                0.96164,                 1.1352,              0.0013866,              0.0013866,              0.0013866
                      8,                0.91906,                 1.6125,                 0.8041,                 1.0434,                 0.7114,                 0.6551,                0.66907,                 0.4483,                0.75218,                0.63033,                0.68099,                0.40285,                0.96093,                 1.6976,                 0.8954,                 1.1098,              0.0013795,              0.0013795,              0.0013795
                      9,                0.95195,                 1.5958,                0.78318,                 1.0591,                0.66855,                 0.6035,                0.60208,                0.42489,                0.67821,                0.61253,                0.60974,                 0.3673,                0.98104,                 1.7137,                0.92409,                 1.1147,              0.0013724,              0.0013724,              0.0013724
                     10,                0.91567,                 1.5412,                0.77876,                 1.0428,                0.71479,                0.61613,                0.62833,                0.42867,                0.72304,                0.62673,                0.64793,                0.38836,                0.95042,                 1.7002,                0.88145,                 1.1146,              0.0013653,              0.0013653,              0.0013653
                     11,                0.89216,                  1.531,                0.75766,                 1.0385,                0.62467,                0.60773,                0.61296,                  0.426,                0.63828,                 0.6245,                0.62194,                0.36611,                 1.0145,                   1.74,                0.93207,                 1.1379,              0.0013583,              0.0013583,              0.0013583
                     12,                 0.9057,                 1.5594,                0.75844,                 1.0405,                0.67189,                0.60909,                0.63331,                0.43685,                0.68955,                0.59526,                0.63317,                0.37452,                 0.9463,                 1.7226,                0.87083,                  1.105,              0.0013512,              0.0013512,              0.0013512
                     13,                0.86336,                 1.5312,                0.74602,                 1.0287,                0.65969,                 0.5975,                0.59988,                0.42899,                0.67862,                0.60948,                0.61533,                 0.3647,                0.91592,                 1.6832,                  0.892,                 1.0818,              0.0013441,              0.0013441,              0.0013441
                     14,                0.85384,                 1.5139,                0.72593,                 1.0174,                0.57915,                 0.6644,                0.63507,                 0.4463,                0.57342,                 0.6689,                0.63605,                0.38313,                0.88462,                 1.6418,                0.85248,                 1.0659,               0.001337,               0.001337,               0.001337
                     15,                0.83655,                 1.4943,                0.69196,                 1.0065,                0.72559,                0.62394,                0.62211,                0.43755,                0.71973,                0.63766,                0.63616,                0.37063,                 0.9115,                 1.7112,                0.86793,                 1.0928,                0.00133,                0.00133,                0.00133
                     16,                0.84133,                  1.474,                0.69207,                 1.0121,                0.73598,                0.67018,                0.69922,                0.50108,                0.75192,                0.68027,                0.70991,                0.43425,                0.92007,                 1.6207,                 0.8037,                 1.0868,              0.0013229,              0.0013229,              0.0013229
                     17,                 0.8388,                 1.4864,                0.70069,                 1.0162,                0.73822,                0.70938,                0.69974,                 0.4941,                0.74545,                0.71223,                0.71147,                0.42859,                0.89921,                 1.5901,                0.79436,                 1.0747,              0.0013158,              0.0013158,              0.0013158
                     18,                0.82155,                 1.4455,                0.69102,                 1.0036,                0.65922,                0.57159,                 0.6059,                 0.4317,                0.67158,                0.57911,                0.61776,                 0.3746,                0.88883,                 1.6433,                0.85596,                 1.0712,              0.0013087,              0.0013087,              0.0013087
                     19,                0.82987,                 1.4572,                0.67212,                 1.0089,                0.79276,                0.61985,                0.72219,                0.52292,                0.79981,                0.62698,                0.73322,                0.45201,                0.89326,                 1.6203,                0.78858,                 1.0846,              0.0013017,              0.0013017,              0.0013017
                     20,                 0.8484,                 1.4764,                0.69035,                 1.0103,                0.65771,                0.62306,                0.63231,                0.44817,                  0.659,                0.63063,                0.64755,                0.38996,                0.90858,                 1.6782,                0.84077,                 1.0806,              0.0012946,              0.0012946,              0.0012946
                     21,                0.83655,                 1.4581,                0.66777,                 1.0067,                0.68335,                0.68845,                0.70172,                0.49865,                0.69381,                0.69994,                0.70319,                0.44903,                0.87355,                 1.5792,                0.79703,                 1.0706,              0.0012875,              0.0012875,              0.0012875
                     22,                0.81053,                 1.4201,                0.65999,                 1.0002,                0.75137,                0.68519,                0.72325,                0.51874,                0.76994,                0.68827,                0.73284,                0.46168,                0.87633,                 1.5671,                0.75814,                 1.0868,              0.0012805,              0.0012805,              0.0012805
                     23,                0.80034,                 1.4391,                0.65878,                 1.0042,                0.71333,                0.66312,                 0.7063,                0.51824,                0.72723,                0.67328,                0.71822,                0.44717,                0.87114,                 1.6199,                0.78607,                 1.0752,              0.0012734,              0.0012734,              0.0012734
                     24,                0.81706,                 1.4237,                0.67421,                 1.0079,                0.68893,                0.66234,                0.66951,                0.48119,                0.70132,                0.67475,                0.68541,                0.42114,                0.87887,                 1.5876,                0.78048,                 1.0772,              0.0012663,              0.0012663,              0.0012663
                     25,                0.81288,                 1.4387,                 0.6564,                 1.0013,                 0.7385,                0.68921,                 0.7202,                0.51437,                0.71354,                0.70089,                0.71767,                0.45676,                0.86299,                 1.6125,                0.76437,                 1.0471,              0.0012592,              0.0012592,              0.0012592
                     26,                0.80193,                 1.4149,                0.64662,                0.99086,                0.72144,                0.70522,                0.72041,                0.52282,                0.73362,                0.71805,                0.73739,                0.45421,                0.86479,                 1.5912,                0.77925,                 1.0651,              0.0012522,              0.0012522,              0.0012522
                     27,                0.79352,                 1.3861,                0.63122,                0.98131,                 0.7317,                  0.685,                0.68953,                  0.494,                0.74176,                0.69349,                0.69759,                0.43983,                0.85543,                 1.5755,                0.74996,                 1.0638,              0.0012451,              0.0012451,              0.0012451
                     28,                0.79379,                 1.3954,                0.64501,                0.99374,                0.72005,                0.70629,                0.72943,                0.52787,                0.72829,                0.71344,                0.74112,                0.45915,                0.85797,                 1.6309,                0.79072,                 1.0563,               0.001238,               0.001238,               0.001238
                     29,                0.79721,                  1.413,                0.62588,                0.99514,                0.72555,                0.74709,                0.74164,                0.53532,                0.72778,                0.74481,                0.74718,                0.46259,                0.87546,                 1.5641,                0.77449,                 1.0751,              0.0012309,              0.0012309,              0.0012309
                     30,                0.78756,                 1.4093,                0.64133,                 0.9918,                0.70929,                 0.7204,                0.71464,                0.51144,                0.70969,                0.72026,                0.71686,                0.44292,                0.90025,                 1.5294,                0.77273,                 1.0916,              0.0012239,              0.0012239,              0.0012239
                     31,                 0.7845,                 1.4098,                0.61598,                0.98909,                0.71069,                0.69219,                0.71944,                0.51699,                0.72472,                0.69619,                0.72854,                 0.4633,                0.84673,                 1.5601,                0.74621,                 1.0479,              0.0012168,              0.0012168,              0.0012168
                     32,                  0.771,                 1.3654,                0.62075,                0.98657,                0.64847,                0.70065,                0.66912,                0.47833,                0.65059,                0.70411,                0.68294,                0.41181,                0.86136,                 1.6064,                0.79322,                 1.0579,              0.0012097,              0.0012097,              0.0012097
                     33,                0.76986,                  1.376,                0.60855,                0.98984,                0.70063,                0.75919,                0.71798,                 0.5166,                0.70925,                0.75811,                0.72846,                0.46058,                0.85768,                  1.566,                0.75763,                  1.064,              0.0012026,              0.0012026,              0.0012026
                     34,                 0.7581,                 1.3504,                0.59732,                0.98272,                0.71954,                 0.6076,                0.67409,                0.49217,                0.72862,                 0.6169,                0.68338,                0.43632,                0.85349,                 1.5706,                0.77586,                  1.063,              0.0011956,              0.0011956,              0.0011956
                     35,                0.78775,                 1.3834,                0.60987,                 0.9869,                0.72023,                0.67338,                0.70015,                0.51597,                0.72971,                0.68206,                 0.7118,                 0.4489,                0.86461,                 1.5825,                0.80406,                 1.0681,              0.0011885,              0.0011885,              0.0011885
                     36,                0.77138,                  1.379,                0.61695,                 0.9795,                0.78616,                0.67862,                0.74072,                0.54094,                0.80592,                0.68653,                0.75686,                0.48594,                0.81372,                 1.5438,                0.71433,                 1.0469,              0.0011814,              0.0011814,              0.0011814
                     37,                0.74294,                 1.3261,                0.57765,                0.96811,                0.70226,                0.74082,                0.72988,                0.53227,                  0.704,                0.74273,                0.72952,                0.46032,                0.86815,                 1.5864,                0.73787,                 1.0612,              0.0011744,              0.0011744,              0.0011744
                     38,                0.75436,                 1.3285,                0.59884,                0.97161,                0.73489,                0.69519,                0.72882,                0.53458,                0.74695,                0.70543,                0.74345,                0.46444,                0.83011,                 1.6044,                0.73928,                 1.0499,              0.0011673,              0.0011673,              0.0011673
                     39,                0.74254,                 1.3507,                0.58646,                0.97869,                 0.7352,                0.71976,                0.73673,                0.53032,                0.75352,                0.72349,                0.75001,                0.48269,                 0.8447,                 1.5587,                0.76532,                  1.067,              0.0011602,              0.0011602,              0.0011602
                     40,                0.74515,                 1.3148,                0.58609,                0.97294,                0.74603,                0.66783,                0.70557,                0.50765,                0.73595,                0.69343,                0.71726,                0.44533,                0.82484,                 1.5485,                0.73123,                 1.0357,              0.0011531,              0.0011531,              0.0011531
                     41,                0.75758,                 1.3554,                 0.5806,                0.97667,                0.70256,                0.71085,                0.71805,                0.52138,                0.71097,                0.71943,                0.72899,                  0.457,                0.85238,                 1.5668,                0.77681,                  1.058,              0.0011461,              0.0011461,              0.0011461
                     42,                0.74544,                 1.3351,                0.58837,                0.97015,                0.73254,                0.72565,                0.74495,                0.54601,                0.74594,                0.72989,                0.75954,                0.47193,                0.83434,                 1.5509,                0.76718,                 1.0482,               0.001139,               0.001139,               0.001139
                     43,                0.73703,                 1.3436,                0.56673,                  0.967,                 0.7191,                0.69568,                0.71304,                0.51125,                0.70105,                0.73601,                0.72064,                0.45881,                0.85323,                 1.5417,                0.75413,                 1.0531,              0.0011319,              0.0011319,              0.0011319
                     44,                0.75823,                 1.3305,                0.56702,                0.97196,                0.75869,                0.70471,                0.72654,                0.53338,                0.76333,                0.70911,                0.73583,                 0.4591,                0.86702,                 1.5668,                0.76856,                 1.0637,              0.0011248,              0.0011248,              0.0011248
                     45,                0.73802,                  1.354,                0.56347,                0.96944,                0.67556,                0.72346,                0.71461,                0.51495,                0.69133,                0.73988,                0.72611,                0.47002,                0.84726,                  1.554,                0.77702,                 1.0538,              0.0011178,              0.0011178,              0.0011178
                     46,                0.74079,                 1.3109,                0.56841,                0.96137,                0.76247,                0.68407,                0.71597,                0.52284,                0.77338,                 0.6922,                0.72485,                  0.456,                0.83167,                 1.4852,                 0.7266,                 1.0548,              0.0011107,              0.0011107,              0.0011107
                     47,                0.71871,                 1.2964,                0.54657,                0.95854,                0.71397,                0.73441,                0.74103,                0.53165,                0.74311,                0.72041,                0.75429,                0.47569,                0.82877,                 1.5232,                 0.7394,                 1.0514,              0.0011036,              0.0011036,              0.0011036
                     48,                0.72841,                 1.3135,                0.56353,                0.96974,                0.67796,                0.71894,                0.68893,                0.48905,                0.68342,                0.72496,                0.70215,                 0.4344,                0.84159,                  1.512,                0.76865,                 1.0557,              0.0010965,              0.0010965,              0.0010965
                     49,                0.72908,                 1.3047,                 0.5575,                0.96653,                 0.7423,                0.69872,                0.73463,                0.53163,                0.76202,                0.70473,                0.74682,                0.48257,                0.82962,                 1.5393,                 0.7641,                 1.0475,              0.0010895,              0.0010895,              0.0010895
                     50,                0.72299,                 1.2986,                0.53851,                0.95938,                0.75997,                0.72016,                 0.7408,                 0.5431,                0.77026,                   0.73,                0.75482,                0.48919,                 0.8653,                 1.5276,                0.71059,                 1.0796,              0.0010824,              0.0010824,              0.0010824
                     51,                 0.7174,                 1.3187,                0.53361,                0.95274,                0.74005,                0.72022,                0.73717,                0.53743,                0.74454,                0.72415,                 0.7382,                0.47394,                0.84309,                 1.5853,                0.72322,                  1.059,              0.0010753,              0.0010753,              0.0010753
                     52,                0.71984,                 1.2931,                0.55092,                 0.9524,                0.78818,                0.69482,                0.73282,                0.53456,                0.79944,                0.70311,                0.73462,                0.47116,                0.84669,                 1.5705,                0.72845,                 1.0604,              0.0010682,              0.0010682,              0.0010682
                     53,                0.69969,                 1.2829,                0.53723,                0.95031,                0.75298,                0.68811,                0.72405,                0.52298,                0.72448,                0.72527,                 0.7175,                0.45865,                0.83686,                 1.5586,                0.72507,                 1.0573,              0.0010612,              0.0010612,              0.0010612
                     54,                0.72098,                  1.291,                0.54212,                0.95548,                0.73264,                0.72258,                0.72881,                0.53347,                0.74036,                0.73179,                0.74047,                0.46962,                0.81803,                 1.5224,                0.73079,                 1.0372,              0.0010541,              0.0010541,              0.0010541
                     55,                0.69665,                 1.2675,                0.53424,                0.95153,                0.73169,                0.70997,                0.73823,                0.53416,                0.75235,                0.71768,                0.74772,                0.45797,                0.86803,                 1.6087,                0.74611,                 1.0684,               0.001047,               0.001047,               0.001047
                     56,                0.69311,                 1.2627,                0.51946,                0.94777,                0.75909,                0.72524,                0.73026,                0.53788,                0.76394,                0.72979,                0.73041,                0.47073,                0.83175,                 1.5097,                0.70472,                 1.0571,                0.00104,                0.00104,                0.00104
                     57,                0.69925,                 1.2859,                0.53311,                0.94908,                0.77314,                0.71289,                0.73433,                0.53726,                0.78344,                0.72059,                0.75133,                0.49083,                 0.8226,                 1.5152,                0.75319,                 1.0498,              0.0010329,              0.0010329,              0.0010329
                     58,                 0.6881,                 1.2625,                0.50905,                0.94866,                0.72497,                0.74741,                0.70704,                0.50407,                0.75024,                0.76203,                0.72714,                0.45989,                0.82756,                 1.5517,                0.71315,                 1.0573,              0.0010258,              0.0010258,              0.0010258
                     59,                0.68781,                 1.2558,                0.51246,                0.95239,                0.75745,                0.69912,                0.72359,                0.53477,                0.77324,                0.71212,                0.73522,                0.47072,                0.84669,                 1.5619,                0.73538,                 1.0709,              0.0010187,              0.0010187,              0.0010187
                     60,                0.70282,                 1.2649,                0.51476,                 0.9481,                0.76758,                0.70561,                0.73712,                 0.5435,                0.76677,                0.70572,                0.73449,                0.48553,                0.84061,                  1.534,                 0.7173,                 1.0577,              0.0010117,              0.0010117,              0.0010117
                     61,                0.69439,                 1.2472,                0.51374,                0.94049,                0.78755,                0.70685,                0.74617,                0.55053,                0.79821,                0.71624,                0.75369,                0.49089,                0.83011,                 1.5139,                0.70853,                 1.0614,              0.0010046,              0.0010046,              0.0010046
                     62,                0.68389,                 1.2636,                0.49926,                0.94275,                0.73203,                0.75424,                0.73154,                0.53283,                0.74021,                0.76482,                0.74921,                0.47688,                0.83244,                 1.5556,                0.70526,                 1.0485,             0.00099751,             0.00099751,             0.00099751
                     63,                0.68656,                 1.2232,                 0.4979,                0.94463,                 0.7795,                0.73187,                0.74709,                0.53544,                0.78543,                0.73723,                0.75219,                0.48275,                0.84466,                 1.5307,                0.73131,                 1.0724,             0.00099044,             0.00099044,             0.00099044
                     64,                0.70321,                 1.2529,                  0.501,                0.94514,                0.72665,                0.71726,                0.71349,                0.51742,                0.72589,                0.71779,                0.72028,                0.47747,                0.82534,                 1.4912,                0.72883,                 1.0615,             0.00098337,             0.00098337,             0.00098337
                     65,                0.68451,                 1.2322,                0.49721,                0.93284,                0.73811,                0.67523,                0.69453,                0.50876,                0.75062,                0.68611,                0.70833,                0.45636,                0.83453,                 1.5171,                0.75555,                 1.0479,             0.00097629,             0.00097629,             0.00097629
                     66,                 0.6791,                 1.2182,                0.49338,                0.94096,                0.76642,                 0.7216,                0.73723,                0.54575,                0.77945,                0.73445,                0.74731,                0.48717,                0.80121,                 1.5074,                0.71298,                 1.0392,             0.00096922,             0.00096922,             0.00096922
                     67,                0.67623,                 1.2502,                0.49561,                0.94312,                0.75421,                0.70276,                0.74309,                0.54677,                0.76807,                0.71412,                0.75634,                 0.4806,                0.84309,                 1.5284,                0.72285,                 1.0602,             0.00096215,             0.00096215,             0.00096215
                     68,                0.67141,                 1.2133,                0.49222,                0.93754,                0.76425,                0.72706,                0.74398,                 0.5421,                0.77747,                0.73835,                0.75925,                0.48882,                0.83654,                 1.5449,                0.72635,                 1.0934,             0.00095507,             0.00095507,             0.00095507
                     69,                0.67152,                 1.2186,                0.47104,                0.92422,                0.73028,                0.70866,                0.71905,                0.53293,                0.74077,                0.71775,                0.72684,                0.46324,                 0.8181,                 1.5156,                0.68322,                 1.0555,               0.000948,               0.000948,               0.000948
                     70,                0.68007,                 1.2226,                0.47859,                0.93895,                0.76119,                0.70243,                0.74386,                 0.5465,                0.77023,                0.71167,                0.75745,                0.48886,                0.84418,                 1.5359,                0.68533,                 1.0651,             0.00094093,             0.00094093,             0.00094093
                     71,                0.67807,                  1.234,                0.49697,                0.93522,                0.74128,                0.75563,                0.73596,                0.53381,                0.75277,                0.76561,                0.74365,                0.48115,                0.79963,                  1.494,                0.67375,                  1.035,             0.00093385,             0.00093385,             0.00093385
                     72,                0.66765,                 1.2381,                0.49587,                 0.9375,                0.71847,                0.75642,                0.71075,                0.52427,                0.77904,                0.72674,                0.74197,                0.46875,                 0.8326,                 1.5336,                0.71145,                 1.0654,             0.00092678,             0.00092678,             0.00092678
                     73,                0.66672,                 1.2162,                0.50049,                0.93538,                0.74662,                0.73508,                0.75692,                0.55174,                0.74609,                0.73652,                0.75855,                0.48705,                0.83531,                  1.558,                0.73756,                 1.0547,              0.0009197,              0.0009197,              0.0009197
                     74,                0.66368,                 1.2031,                0.49167,                0.93363,                0.75718,                0.71838,                0.72935,                0.53773,                0.77218,                0.73202,                0.74307,                0.47869,                0.85509,                 1.5647,                0.76421,                 1.0821,             0.00091263,             0.00091263,             0.00091263
                     75,                0.66559,                 1.2264,                0.48608,                0.93503,                0.72486,                0.71183,                0.72411,                0.53035,                0.73464,                0.72137,                0.72999,                0.48005,                0.80352,                 1.5309,                0.73899,                 1.0384,             0.00090556,             0.00090556,             0.00090556
                     76,                0.66428,                 1.2024,                0.48468,                0.92864,                0.74395,                0.72621,                0.74002,                0.54076,                0.77126,                0.74423,                0.75689,                0.48088,                0.82212,                 1.6064,                0.75198,                 1.0561,             0.00089848,             0.00089848,             0.00089848
                     77,                0.65646,                 1.1983,                0.46822,                0.92911,                0.74527,                0.73323,                 0.7551,                0.54813,                0.76461,                0.73362,                0.76567,                0.50028,                0.82664,                  1.527,                0.71736,                 1.0586,             0.00089141,             0.00089141,             0.00089141
                     78,                 0.6586,                 1.1918,                0.48051,                0.92699,                0.76068,                0.71015,                0.74395,                0.54253,                0.76695,                0.71464,                0.75029,                0.47571,                0.83106,                 1.5319,                0.71447,                 1.0676,             0.00088434,             0.00088434,             0.00088434
                     79,                  0.656,                 1.1868,                0.47107,                0.93727,                0.74625,                0.71663,                0.72789,                0.52995,                0.76263,                0.73173,                0.74592,                0.48035,                0.82703,                  1.541,                0.73496,                 1.0706,             0.00087726,             0.00087726,             0.00087726
                     80,                0.65849,                  1.207,                0.47491,                0.93078,                 0.7452,                0.70295,                0.73491,                0.54583,                0.81608,                0.67866,                0.74522,                0.48148,                0.79445,                 1.5069,                0.69364,                 1.0352,             0.00087019,             0.00087019,             0.00087019
                     81,                0.65253,                 1.2044,                0.46365,                0.92453,                0.73742,                0.71652,                0.72592,                0.52216,                0.74137,                 0.7191,                0.73251,                0.46632,                0.84827,                 1.5261,                0.74608,                 1.0878,             0.00086312,             0.00086312,             0.00086312
                     82,                0.64374,                 1.1801,                0.46398,                0.92562,                0.76198,                0.70756,                0.71811,                0.52322,                0.77474,                0.71927,                0.73018,                0.46031,                0.82194,                  1.543,                0.70993,                 1.0536,             0.00085604,             0.00085604,             0.00085604
                     83,                0.64862,                 1.1769,                 0.4634,                0.92349,                0.74868,                  0.761,                0.75066,                0.54729,                0.77278,                0.75763,                0.76964,                0.49343,                0.82937,                 1.5153,                0.70946,                 1.0658,             0.00084897,             0.00084897,             0.00084897
                     84,                0.65667,                 1.2082,                0.46784,                0.92237,                0.77568,                0.71119,                0.73654,                0.53765,                0.80301,                0.72006,                0.74698,                0.47851,                0.81698,                 1.5321,                0.74168,                 1.0445,              0.0008419,              0.0008419,              0.0008419
                     85,                0.64723,                  1.178,                0.46316,                0.92882,                0.77881,                 0.7302,                0.75643,                0.55437,                0.75351,                0.74505,                0.76207,                0.49182,                0.87947,                 1.5971,                0.70928,                 1.1343,             0.00083482,             0.00083482,             0.00083482
                     86,                 0.6566,                 1.1993,                0.46979,                0.92724,                0.75068,                0.74845,                0.72844,                0.54086,                0.75381,                0.75157,                0.75056,                0.48303,                 0.8537,                 1.5543,                0.72583,                 1.0879,             0.00082775,             0.00082775,             0.00082775
                     87,                0.64814,                 1.1528,                0.45317,                0.91902,                0.70104,                0.74702,                0.71025,                0.52428,                0.71579,                0.75817,                 0.7285,                0.46445,                0.85645,                 1.5595,                0.76658,                 1.0944,             0.00082067,             0.00082067,             0.00082067
                     88,                0.62981,                 1.1593,                0.44947,                0.92038,                 0.7342,                0.72264,                0.72089,                0.53043,                0.74855,                0.73635,                0.74261,                0.47621,                0.84386,                 1.5244,                0.70112,                 1.0784,              0.0008136,              0.0008136,              0.0008136
                     89,                0.63495,                 1.1608,                0.44543,                0.92065,                0.71279,                 0.7574,                0.74198,                0.54069,                0.73375,                0.74342,                0.75597,                0.48114,                0.81861,                 1.5497,                0.66161,                 1.0645,             0.00080653,             0.00080653,             0.00080653
                     90,                 0.6549,                  1.188,                0.45673,                0.92629,                0.74175,                0.69978,                0.71908,                0.52097,                0.75153,                0.70873,                0.72369,                0.46866,                 0.8271,                  1.544,                0.70558,                 1.0816,             0.00079945,             0.00079945,             0.00079945
                     91,                0.64481,                 1.1868,                0.43948,                0.91512,                0.72118,                0.73122,                0.71394,                0.52651,                0.72555,                0.73541,                0.72781,                0.47778,                0.83639,                  1.537,                0.70461,                 1.0758,             0.00079238,             0.00079238,             0.00079238
                     92,                0.62371,                  1.161,                0.43748,                0.91796,                0.72596,                0.74646,                0.72506,                0.53985,                 0.7389,                0.75503,                0.73255,                0.47666,                0.81831,                 1.5538,                0.68569,                 1.0585,             0.00078531,             0.00078531,             0.00078531
                     93,                0.62707,                 1.1458,                0.43795,                0.91362,                0.73247,                0.72798,                0.72153,                0.53649,                0.74817,                0.74051,                 0.7439,                 0.4794,                0.79795,                 1.5092,                0.69918,                 1.0337,             0.00077823,             0.00077823,             0.00077823
                     94,                0.61945,                 1.1309,                0.43015,                0.90739,                0.73991,                0.75059,                0.72178,                0.53096,                0.75594,                0.76612,                0.74929,                0.47896,                0.79798,                 1.5511,                0.73056,                  1.047,             0.00077116,             0.00077116,             0.00077116
                     95,                0.62067,                 1.1542,                0.43379,                0.91277,                0.70354,                0.73644,                0.72795,                0.54641,                0.71374,                0.74845,                0.75057,                0.49209,                0.81534,                  1.574,                0.68956,                 1.0685,             0.00076409,             0.00076409,             0.00076409
                     96,                 0.6191,                 1.1065,                0.42602,                0.91139,                0.70189,                  0.729,                0.70787,                0.52313,                0.70519,                0.73229,                0.71299,                 0.4642,                0.82065,                 1.5526,                0.74202,                 1.0614,             0.00075701,             0.00075701,             0.00075701
                     97,                0.62709,                 1.1479,                0.43398,                0.91107,                0.74712,                0.73453,                 0.7364,                0.54035,                0.76203,                0.74707,                0.75655,                0.48682,                0.82114,                 1.5665,                0.71623,                 1.0684,             0.00074994,             0.00074994,             0.00074994
                     98,                0.63346,                 1.1655,                0.44362,                0.91715,                0.76736,                0.74043,                0.75626,                0.55791,                0.76761,                0.74111,                0.75339,                0.49016,                0.81271,                 1.5646,                0.70892,                 1.0456,             0.00074287,             0.00074287,             0.00074287
                     99,                0.60892,                 1.1072,                0.42882,                0.90791,                0.76325,                0.69499,                0.73714,                0.55521,                0.77977,                0.68824,                0.73687,                0.49416,                0.80587,                 1.5645,                0.69255,                 1.0542,             0.00073579,             0.00073579,             0.00073579
                    100,                0.61753,                 1.1363,                0.42375,                 0.9198,                0.76345,                0.75075,                0.73706,                0.54177,                0.77583,                0.74764,                0.74533,                0.47425,                0.81397,                 1.5777,                0.70629,                  1.051,             0.00072872,             0.00072872,             0.00072872
                    101,                0.61707,                 1.1269,                0.42766,                0.90989,                0.76104,                0.73304,                0.72895,                0.53859,                0.77272,                0.73068,                0.73629,                0.47994,                0.80508,                 1.5458,                  0.672,                 1.0509,             0.00072164,             0.00072164,             0.00072164
                    102,                0.61547,                 1.1236,                0.42453,                0.91132,                0.77474,                0.69014,                0.75051,                0.54769,                0.74221,                 0.7343,                0.75015,                0.49142,                0.81173,                 1.5845,                0.69912,                  1.065,             0.00071457,             0.00071457,             0.00071457
                    103,                0.59544,                 1.0944,                0.40608,                0.90086,                0.73323,                0.73663,                0.73097,                0.54127,                0.75034,                0.74627,                0.74834,                0.48368,                 0.8024,                  1.598,                  0.733,                  1.051,              0.0007075,              0.0007075,              0.0007075
                    104,                0.61139,                 1.1278,                0.41967,                0.91183,                0.75803,                0.72636,                 0.7452,                0.54355,                0.77117,                0.73904,                0.75276,                0.49559,                0.82657,                 1.5561,                0.71497,                 1.0596,             0.00070042,             0.00070042,             0.00070042
