                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6387,                 3.1715,                   2.15,                 1.5177,                 0.8362,                   0.25,                0.20798,                0.13548,                0.83599,                0.24893,                0.21309,                0.11919,                 1.1056,                 2.0635,                 1.6035,                 1.1896,             0.00047413,             0.00047413,             0.00047413
                      2,                  1.605,                 2.8036,                 1.9629,                 1.4929,                0.46077,                0.28564,                0.28649,                0.18626,                0.46619,                0.29206,                0.29461,                0.18321,                 1.1741,                   1.97,                  1.713,                 1.2602,             0.00094576,             0.00094576,             0.00094576
                      3,                 1.6206,                 2.7739,                 1.7498,                 1.5555,                0.50192,                0.31129,                0.23657,                0.13957,                0.55406,                0.23309,                0.24174,                0.13751,                  1.427,                 2.0918,                 1.9914,                 1.4052,              0.0014127,              0.0014127,              0.0014127
                      4,                 1.7072,                 2.8035,                 1.8165,                 1.5449,                0.31441,                0.36335,                0.30163,                0.19813,                0.31606,                0.36762,                0.31227,                0.18427,                 1.1926,                 1.9923,                 1.6092,                 1.2304,              0.0014078,              0.0014078,              0.0014078
                      5,                 1.5795,                 2.6956,                 1.6428,                 1.4866,                0.53429,                0.43376,                0.34535,                0.21746,                0.59216,                0.36966,                0.35351,                0.19675,                 1.2218,                 2.1235,                 1.4641,                 1.2639,              0.0014078,              0.0014078,              0.0014078
                      6,                 1.6684,                 2.8224,                 1.6189,                 1.5305,                0.37923,                0.39782,                0.31589,                0.19414,                0.38315,                0.40317,                0.33732,                0.18719,                 1.1922,                 1.9993,                 1.4029,                 1.2865,              0.0014007,              0.0014007,              0.0014007
                      7,                 1.5708,                 2.7578,                 1.5865,                 1.5117,                0.38204,                0.43328,                0.32652,                0.19406,                0.38237,                0.43366,                0.33279,                0.16283,                 1.2346,                 2.2579,                 1.5026,                 1.3019,              0.0013936,              0.0013936,              0.0013936
                      8,                 1.5883,                 2.7293,                 1.5141,                 1.4739,                 0.8732,                0.22756,                 0.2426,                0.15653,                0.86831,                0.24537,                0.25191,                 0.1409,                 1.1669,                 2.0309,                 1.4292,                   1.26,              0.0013866,              0.0013866,              0.0013866
                      9,                 1.4929,                 2.5907,                 1.4982,                 1.4584,                0.26426,                0.41356,                0.35947,                0.24686,                0.26054,                0.41035,                0.36797,                0.21631,                 1.1155,                 2.0342,                 1.2838,                 1.2329,              0.0013795,              0.0013795,              0.0013795
                     10,                 1.4825,                 2.5445,                  1.426,                 1.4336,                 0.6321,                0.40676,                0.33382,                0.19831,                0.64844,                0.40171,                0.36767,                0.17431,                  1.226,                 2.1644,                 1.4504,                 1.2624,              0.0013724,              0.0013724,              0.0013724
